Date;WIL-ZH - Température moy. +2 m (°C);WIL-ZH - Humidité moy. (%);WIL-ZH - Précipitations tot. (mm ou litres/m2);WIL-ZH - Rayonnement (W/m2);AIGLE - Température moy. +2 m (°C);AIGLE - Humidité moy. (%);AIGLE - Précipitations tot. (mm ou litres/m2);AIGLE - Rayonnement (W/m2);GIORNICO - Température moy. +2 m (°C);GIORNICO - Humidité moy. (%);GIORNICO - Précipitations tot. (mm ou litres/m2);GIORNICO - Rayonnement (W/m2)
01.01.2024;5;84;4.1;37;4.6;84;0.1;26;2.5;95;0.1;16
02.01.2024;6.9;81;11.3;18;6.2;70;4.9;27;3;85;0;26
03.01.2024;10;70;15.4;48;9.9;68;4.8;28;4;89;0;14
04.01.2024;6.8;81;5.2;40;7.3;79;1.2;29;5.5;81;1.7;15
05.01.2024;3.5;95;2.1;17;5.6;84;9.5;8;2.7;91;18.1;6
06.01.2024;3.7;95;8.6;18;4.4;86;0.9;13;6.4;65;6.4;26
07.01.2024;2;94;6;18;4;80;0;36;9.6;31;0;25
08.01.2024;-2.3;78;0;8;0.4;81;0;16;7.2;50;0;20
09.01.2024;-3.7;77;0;12;0.1;87;0;30;4.2;97;2.1;4
10.01.2024;-3.1;90;0.1;21;1.1;95;0;33;3.4;100;1.4;15
11.01.2024;-3.2;89;0;24;0.8;92;0;22;0.7;100;0.1;17
12.01.2024;-3.7;90;0.1;70;0.2;80;0;24;0.3;98;0;18
13.01.2024;-3.6;93;0;24;-2;95;0;18;-0.8;86;0;19
14.01.2024;-1.8;84;0;66;-0.7;78;0;30;-1;86;0;18
15.01.2024;0.2;75;0.2;50;2.2;95;0.5;23;2.4;77;0;26
16.01.2024;-2.6;80;0;79;1.6;77;0;46;0.9;61;0;25
17.01.2024;3.3;94;27.2;18;6.7;83;15.8;20;1.9;88;5.2;17
18.01.2024;6.3;87;11;19;7.3;95;19.2;28;2.6;100;2.8;27
19.01.2024;-2;80;3.4;62;0.6;79;1;78;5.6;28;0;27
20.01.2024;-3.7;80;0;109;-2;72;0;79;-1;41;0;28
21.01.2024;-2.9;81;0;80;0.2;76;0;66;-0.2;46;0;35
22.01.2024;3.7;78;16.3;31;4.2;71;6.9;37;1.3;65;0;35
23.01.2024;6.6;81;6;36;6.6;88;0.1;47;7.8;59;0;30
24.01.2024;11.2;73;2.3;21;8.9;86;0;50;5.2;91;0;32
25.01.2024;9.4;93;7.8;34;9.5;90;0;81;12.3;57;0;36
26.01.2024;8.8;84;0.8;33;8.6;84;2.9;29;8.9;63;0;46
27.01.2024;4.7;79;0;112;7.1;84;0;87;10.4;33;0;35
28.01.2024;0.8;92;0;50;4.3;80;0;88;4.8;49;0;35
29.01.2024;-0.9;99;0.1;43;4.7;79;0;78;3.7;62;0;38
30.01.2024;1;98;0.2;71;5.3;79;0;74;3.6;71;0;43
31.01.2024;4.3;87;0;87;5.1;76;0;65;4;77;0;40
01.02.2024;6.6;89;1.2;21;4.8;90;0.8;22;8.5;61;0;23
02.02.2024;6.3;90;0;50;6.7;79;0;43;11.2;42;0;43
03.02.2024;6.6;76;0;127;6.4;78;0;101;12;47;0;43
04.02.2024;6.1;82;0;87;5.5;87;0;101;14.3;31;0;44
05.02.2024;6;80;0;119;4.7;88;0;98;10.8;46;0;46
06.02.2024;4.7;80;0;126;5.4;72;0;100;6.4;69;0;41
07.02.2024;7;72;3.4;67;5.7;81;1.9;97;8.3;63;0;43
08.02.2024;9;84;3.5;54;8.2;90;1.8;74;6.8;81;0.1;59
09.02.2024;8.9;94;12.7;23;9.6;82;0.9;22;6.6;100;25.3;5
10.02.2024;8.7;90;0.1;56;8;93;0.4;45;6;100;18.7;11
11.02.2024;6.5;81;2.8;57;6.2;93;0.8;67;8.4;71;4.9;45
12.02.2024;6.4;82;1.5;72;6.4;85;0;88;7.7;68;0;65
13.02.2024;6.1;73;0;155;6.4;74;0;121;8.5;46;0;58
14.02.2024;8.3;69;0;89;8.3;54;0;76;6.8;57;0;61
15.02.2024;8.4;75;0;106;8.3;63;0;80;7.3;74;0;59
16.02.2024;10.3;77;0;93;9.2;71;0;87;8.4;79;0;67
17.02.2024;10.3;90;1.7;35;10.5;77;0;115;9.2;80;0;63
18.02.2024;8.4;87;3.7;80;10;78;0;93;11;66;0;76
19.02.2024;9;83;5.2;95;9.1;88;2.8;83;13.5;45;0;79
20.02.2024;7.2;73;0.6;121;7.7;85;7.3;107;11.7;37;0;83
21.02.2024;6.7;73;0;111;7.5;69;0;84;9.2;49;0;85
22.02.2024;9;81;25.3;22;8.4;82;18.4;14;6.8;94;11;7
23.02.2024;5.1;75;1;65;5.7;81;1.1;138;5;99;17.3;33
24.02.2024;5.4;71;0;118;5.8;67;0;133;2;100;17.4;12
25.02.2024;5.5;71;0;151;7.8;43;0;124;4.1;100;3.2;35
26.02.2024;7.7;65;0;78;10.4;42;0;88;3;100;14.7;22
27.02.2024;8;70;0.1;78;8.2;62;0;85;4.9;100;6.3;34
28.02.2024;7.5;75;0;70;8.2;74;0;68;8.1;98;0.7;55
29.02.2024;7;77;0;128;7.7;78;0;147;9.2;92;0.2;48
01.03.2024;5.7;92;3.6;35;7.3;88;2.2;56;7.1;100;34.6;14
02.03.2024;6.9;85;0;117;8.1;71;0;117;6.6;100;10.8;20
03.03.2024;9.3;72;0;98;8.8;73;0;103;7.6;100;10.5;32
04.03.2024;6.4;87;0;50;7.2;84;0.1;107;8.5;93;0.1;100
05.03.2024;6.7;80;4.1;81;6.4;88;3.7;53;8.1;87;11.8;18
06.03.2024;4;96;13;33;5;84;4.4;100;10.2;45;0;68
07.03.2024;4.3;87;0;42;5.5;67;0;181;8.3;61;0;69
08.03.2024;3.8;83;0;115;4.6;83;0;127;7.2;99;0.4;19
09.03.2024;8.5;62;0;169;10.3;48;0;88;5.6;100;8.6;17
10.03.2024;8;67;4.9;64;9.8;65;3;33;3;100;29;3
11.03.2024;7.1;78;0.1;206;6.9;80;0.4;146;6.6;80;18.2;118
12.03.2024;6.8;83;1.7;53;7.1;87;0.7;79;11.4;43;0;125
13.03.2024;7.8;91;5.9;74;9.8;80;1.1;175;10.9;69;0.3;96
14.03.2024;9.5;85;0;164;11.3;66;0.3;175;10.5;69;0;115
15.03.2024;11.2;75;5.6;139;11.6;70;1.5;81;10.9;79;1.2;104
16.03.2024;10;83;7.3;155;11.3;76;10.1;174;12.7;63;0.1;124
17.03.2024;8.8;89;0;88;10.3;72;0.9;59;12.5;49;0;93
18.03.2024;9.3;93;11.8;53;10.9;93;12;64;12.3;70;1;50
19.03.2024;10.1;83;0.1;158;11.3;75;0;186;12.8;56;0;127
20.03.2024;11;73;0;219;12.7;60;0;182;12.4;62;0;128
21.03.2024;12.1;73;1.4;157;13.7;64;0.1;136;14.4;51;0;90
22.03.2024;12.8;61;0;211;14.2;47;0;183;14;44;0;135
23.03.2024;8.6;68;2.9;190;10.1;53;3.3;141;12.4;46;0.1;111
24.03.2024;5.1;73;6.1;169;6;68;1.4;78;9.5;35;0;108
25.03.2024;6.5;67;0.1;236;8.4;46;0;177;9.6;35;0;154
26.03.2024;10.1;53;0;205;14.3;27;0;191;7.6;65;5;38
27.03.2024;6.8;75;0;119;6.1;86;6.8;27;1.6;100;34.3;4
28.03.2024;6.2;70;3.2;131;8;65;10;123;3.6;100;17.4;22
29.03.2024;11.3;56;0;173;16.2;31;0;126;5.1;100;11.1;27
30.03.2024;14.6;49;1.8;116;15.2;42;0.1;60;8.9;100;28.9;32
31.03.2024;12.2;74;2;188;11.5;66;0;146;7.5;100;53.5;13
01.04.2024;9.3;79;5.2;84;10;74;7.6;122;8.1;99;46.6;35
02.04.2024;8.7;72;2.4;155;9.7;72;1.5;230;9.6;66;0.1;145
03.04.2024;7.9;80;5.3;81;10.2;66;0.8;62;8.3;87;2.6;52
04.04.2024;12.7;72;1;113;13.5;66;0;166;10.8;79;0;149
05.04.2024;15.9;60;0;231;16.7;42;0;207;13.8;75;0;130
06.04.2024;17.6;53;0;248;17.8;38;0;206;15.1;69;0;162
07.04.2024;17.3;55;0;152;19.6;32;0;143;16.4;58;0;115
08.04.2024;18.6;54;0;173;21.6;31;0;156;17.9;48;0;160
09.04.2024;10.7;69;1.2;67;11.2;70;6.3;35;11.5;91;16.8;16
10.04.2024;8.3;71;0;154;8.4;72;4;150;11;57;1.6;49
11.04.2024;10.2;66;0;266;11;63;0;226;14.3;64;0;171
12.04.2024;13.6;62;0;270;14.4;68;0;228;16.8;54;0;176
13.04.2024;16.5;58;0;278;17.5;54;0;243;18.3;46;0;176
14.04.2024;18.8;54;0;285;20.3;40;0;245;19.5;44;0;180
15.04.2024;15.2;64;1.8;136;17.6;57;0.2;133;18.1;65;0;97
16.04.2024;7.1;70;3.5;211;9.8;52;3.6;154;13.7;40;0;174
17.04.2024;5.1;84;4.7;116;5.2;90;12.5;111;11.2;34;0;182
18.04.2024;4;87;4.1;162;5.2;72;4.6;212;10.5;29;0;180
19.04.2024;3.8;90;11.3;89;5.6;65;1;86;9.6;45;0.7;136
20.04.2024;4.9;85;2.7;140;6.6;72;3.9;143;10.2;44;0;187
21.04.2024;2.5;92;8.3;84;4.1;81;2.6;96;9.3;36;0;133
22.04.2024;2.4;90;1.5;72;3.8;70;0;148;8;42;0;53
23.04.2024;3.6;79;0;121;5.3;65;0;125;9.4;46;0;152
24.04.2024;4.3;77;0;168;6.2;63;3.1;157;10.4;28;0;155
25.04.2024;5.2;69;0.4;154;7.1;64;1.2;284;9.7;38;0;165
26.04.2024;7.5;70;0;169;9.6;60;0;157;8.3;90;1.2;45
27.04.2024;12.4;57;0;310;14.7;35;0;248;8.7;100;3.3;58
28.04.2024;12.3;59;0;192;14.5;59;0.6;89;9.3;100;11.5;53
29.04.2024;13.6;66;0;251;12.6;83;0;177;14.4;79;0;171
30.04.2024;17.1;56;0;283;14.5;66;0;138;16;72;0;134
01.05.2024;18.1;47;0;278;18.1;41;0;186;14;95;8.4;69
02.05.2024;13.4;73;0.5;165;12;78;7.3;87;11.9;99;4.2;79
03.05.2024;10.6;75;0;119;9.8;81;2.6;144;14.2;71;2.3;174
04.05.2024;12.8;68;0;248;12;60;0;210;12.2;92;0.8;93
05.05.2024;15.1;74;2.6;204;14.8;78;2.2;182;15.1;83;0;111
